Program_Name,Station_Name,Beach_Name,Lat_DD,Lon_DD,Municipality,County_Name,Station_Type_Name,Location_Type_Name,Result_Date,Result_Time,Result_Measure,Result_Comments,Units_Name,Result_Type_Name,Remark_Code_Name
"Cooperative Coastal Monitoring Program",CC1051,"40th St",39.0857622167,-74.7234621549,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,08:50,2,"Imported from old, last updated: [2021-05-18 11:20:51.717086]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1101,Surf,39.2890008504,-74.5514799136,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:10,2,"Imported from old, last updated: [2021-05-18 11:20:51.789922]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1103,"9th St",39.2742697113,-74.5691610101,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:33,2,"Imported from old, last updated: [2021-05-18 11:20:51.862609]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1104,"34th St",39.2488712922,-74.6069292049,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,06:54,2,"Imported from old, last updated: [2021-05-18 11:20:51.934726]",CFU/100mL,Enterococcus,--
"Cooperative Coastal Monitoring Program",CC1105,"55th St",39.2232582853,-74.6322934582,"Ocean City","Cape May County",Primary,Ocean,05/17/2021,07:08,2,"Imported from old, last updated: [2021-05-18 11:20:52.009901]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1106,Williard,39.1969474571,-74.6508893406,"Upper Township","Cape May County",Primary,Ocean,05/17/2021,07:40,2,"Imported from old, last updated: [2021-05-18 11:20:52.085225]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1107,"34th St",39.1588270720,-74.6836733476,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,07:54,2,"Imported from old, last updated: [2021-05-18 11:20:52.158551]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1108,"40th St",39.1550425183,-74.6878292230,"Sea Isle City","Cape May County",Primary,Ocean,05/17/2021,07:54,2,"Imported from old, last updated: [2021-05-18 11:20:52.226447]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1111,"21st St",39.0980749465,-74.7112370040,"Avalon Borough","Cape May County",Primary,Ocean,05/17/2021,08:35,2,"Imported from old, last updated: [2021-05-18 11:20:52.293261]",CFU/100mL,Enterococcus,K
"Cooperative Coastal Monitoring Program",CC1112,"83rd St",39.0598798791,-74.7474604102,"Stone Harbor Borough","Cape May County",Primary,Ocean,05/17/2021,09:10,2,"Imported from old, last updated: [2021-05-18 11:20:52.365464]",CFU/100mL,Enterococcus,K
